"Example","Method","Feq","D","SPR","SB","catchB","YPR","nfleets","allocation_type","F_fleet_1","F_fleet_2","F_fleet_3","input_prop_fleet_1","input_prop_fleet_2","input_prop_fleet_3","target_catch_prop_fleet_1","target_catch_prop_fleet_2","target_catch_prop_fleet_3","catchB_fleet_1","catchB_fleet_2","catchB_fleet_3","final_effort_prop_fleet_1","final_effort_prop_fleet_2","final_effort_prop_fleet_3","actual_catch_prop_fleet_1","actual_catch_prop_fleet_2","actual_catch_prop_fleet_3"
"Example1_IdenticalFleets_Fixed","Single_Fleet",0.2,0.035,0.24,276879.6,92871.8,64.345,1,"single_fleet",0.2,NA,NA,1,NA,NA,NA,NA,NA,92871.8,NA,NA,NA,NA,NA,NA,NA,NA
"Example1_IdenticalFleets_Fixed","Multi_Original",0.2,0.035,0.24,276879.6,92871.8,64.345,2,"effort",0.1,0.1,NA,0.5,0.5,NA,NA,NA,NA,46435.9,46435.9,NA,NA,NA,NA,NA,NA,NA
"Example1_IdenticalFleets_Fixed","Multi2_Effort",0.2,0.035,0.24,276879.6,92871.8,64.345,2,"effort",0.1,0.1,NA,0.5,0.5,NA,NA,NA,NA,46435.9,46435.9,NA,0.5,0.5,NA,NA,NA,NA
"Example1_IdenticalFleets_Fixed","Multi2_Catch",0.2,0.035,0.24,276879.6,92871.8,64.345,2,"catch",0.1,0.1,NA,0.5,0.5,NA,0.5,0.5,NA,46435.9,46435.9,NA,0.5,0.5,NA,0.5,0.5,NA
"Example2_IdenticalFleets_FitDepletion","Single_Fleet",0.0615,0.4,0.528,3193820.3,359781.8,47.471,1,"single_fleet",0.0615,NA,NA,1,NA,NA,NA,NA,NA,359781.8,NA,NA,NA,NA,NA,NA,NA,NA
"Example2_IdenticalFleets_FitDepletion","Multi_Original",0.0615,0.4,0.528,3193820.3,359781.8,47.471,2,"effort",0.0308,0.0308,NA,0.5,0.5,NA,NA,NA,NA,179890.9,179890.9,NA,NA,NA,NA,NA,NA,NA
"Example2_IdenticalFleets_FitDepletion","Multi2_Effort",0.0615,0.4,0.528,3193820.3,359781.8,47.471,2,"effort",0.0308,0.0308,NA,0.5,0.5,NA,NA,NA,NA,179890.9,179890.9,NA,0.5,0.5,NA,NA,NA,NA
"Example2_IdenticalFleets_FitDepletion","Multi2_Catch",0.0615,0.4,0.528,3193820.3,359781.8,47.471,2,"catch",0.0308,0.0308,NA,0.5,0.5,NA,0.5,0.5,NA,179890.9,179890.9,NA,0.5,0.5,NA,0.5,0.5,NA
"Example3_IdenticalFleets_DiffProps","Single_Fleet",0.0615,0.4,0.528,3193820.3,359781.8,47.471,1,"single_fleet",0.0615,NA,NA,1,NA,NA,NA,NA,NA,359781.8,NA,NA,NA,NA,NA,NA,NA,NA
"Example3_IdenticalFleets_DiffProps","Multi_Original",0.0615,0.4,0.528,3193820.3,359781.8,47.471,2,"effort",0.0123,0.0492,NA,0.2,0.8,NA,NA,NA,NA,71956.4,287825.5,NA,NA,NA,NA,NA,NA,NA
